Идентификатор записи,Фасет,Код позиции,Уникальный код (составной ключ),Наименование,Описание,Дата актуализации,Дата деактуализации,Номер изменения (актуализации),Номер изменения (деактуализации),Дата введения в действие,Статус записи
1752,067,8430,067038430,Почетная грамота Госстандарта СССР и ЦК профсоюза работников машиностроения и приборостроения,,2014-12-12,,0,,2015-07-01,Актуальный
1753,067,8435,067038435,Похвальная грамота Главного управления Северного Морского Пути при СНК СССР,,2014-12-12,,0,,2015-07-01,Актуальный
1754,067,8436,067038436,Почетная грамота Министерства морского флота СССР,,2014-12-12,,0,,2015-07-01,Актуальный
1755,067,8437,067038437,Почетная грамота Министерства речного флота РСФСР,,2014-12-12,,0,,2015-07-01,Актуальный
1756,067,8438,067038438,Почетная грамота Министерства автомобильного транспорта РСФСР,,2014-12-12,,0,,2015-07-01,Актуальный
1757,067,8440,067038440,Почетная грамота Главного архивного управления при Совете Министров СССР и ЦК профсоюза работников государственных учреждений,,2014-12-12,,0,,2015-07-01,Актуальный
1758,067,8441,067038441,Почетная грамота Главного архивного управления при Совете Министров РСФСР и ЦК профсоюза работников государственных учреждений,,2014-12-12,,0,,2015-07-01,Актуальный
1759,067,8442,067038442,Почетная грамота Главного архивного управления при Совете Министров РСФСР,,2014-12-12,,0,,2015-07-01,Актуальный
1760,067,8443,067038443,Почетная грамота Главного управления геодезии и картографии при Совете Министров СССР и ЦК профсоюза рабочих геологоразведочных работ,,2014-12-12,,0,,2015-07-01,Актуальный
1761,067,8452,067038452,«Почетная грамота «За активную работу в органах народного контроля СССР» Комитета народного контроля СССР»,,2014-12-12,,0,,2015-07-01,Актуальный
1762,067,8480,067038480,Почетная грамота Министерства нефтяной промышленности СССР и ЦК профсоюза рабочих нефтяной и газовой промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1763,067,8481,067038481,Почетная грамота Министерства строительства предприятий нефтяной и газовой промышленности СССР и ЦК профсоюза рабочих нефтяной и газовой промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1764,067,8482,067038482,Почетная грамота Министерства строительства предприятий нефтяной и газовой промышленности СССР,,2014-12-12,,0,,2015-07-01,Актуальный
1765,067,8483,067038483,Книга Почета Министерства строительства предприятий нефтяной и газовой промышленности СССР с вручением свидетельства установленного образца,,2014-12-12,,0,,2015-07-01,Актуальный
1766,067,8485,067038485,Доска Почета Министерства строительства предприятий нефтяной и газовой промышленности СССР с вручением свидетельства установленного образца,,2014-12-12,,0,,2015-07-01,Актуальный
1767,067,8486,067038486,Почетная грамота Министерства топливной промышленности РСФСР и ЦК профсоюза рабочих электростанций и электротехнической промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1768,067,8487,067038487,Почетная грамота Министерства топливной промышленности РСФСР и ЦК профсоюза рабочих угольной промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1769,067,8488,067038488,"Почетная грамота Министерства топливной промышленности РСФСР и ЦК профсоюза рабочих лесной, бумажной и деревообрабатывающей промышленности",,2014-12-12,,0,,2015-07-01,Актуальный
1770,067,8489,067038489,Почетная грамота Министерства газовой промышленности СССР и ЦК профсоюза рабочих нефтяной и газовой промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1771,067,8490,067038490,Занесение в Книгу почета Министерства газовой промышленности СССР и ЦК профсоюза рабочих нефтяной и газовой промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1772,067,8510,067038510,Грамота КГБ СССР,,2014-12-12,,0,,2015-07-01,Актуальный
1773,067,8511,067038511,Почетная грамота КГБ СССР,,2014-12-12,,0,,2015-07-01,Актуальный
1774,067,8520,067038520,"Почетная грамота Министерства просвещения СССР и ЦК профсоюза работников просвещения, высшей школы и научных учреждений",,2014-12-12,,0,,2015-07-01,Актуальный
1775,067,8525,067038525,Почетная грамота Министерства химической и нефтеперерабатывающей промышленности СССР и ЦК профсоюза рабочих химической и нефтехимической промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1776,067,8526,067038526,Почетная грамота Министерства черной металлургии СССР и ЦК профсоюза рабочих металлургической промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1777,067,8532,067038532,Почетная грамота Президиума Академии наук СССР в связи с 250-летием Академии наук СССР,,2014-12-12,,0,,2015-07-01,Актуальный
1778,067,8534,067038534,«Почетная грамота «За долголетний добросовестный труд по оздоровлению инвалидов по зрению» Президиума Центрального правления Всероссийского общества слепых»,,2014-12-12,,0,,2015-07-01,Актуальный
1779,067,8540,067038540,«Почетная грамота «За активное участие в деятельности Комитета и в связи с 25-летием Всемирного движения сторонников мира» Советского Комитета защиты мира»,,2014-12-12,,0,,2015-07-01,Актуальный
1780,067,8545,067038545,Почетная грамота Министерства финансов СССР и Центрального комитета профсоюза работников госучреждений,,2014-12-12,,0,,2015-07-01,Актуальный
1781,067,8546,067038546,Почетная грамота Министерства финансов РСФСР и Центрального комитета профсоюза работников госучреждений,,2014-12-12,,0,,2015-07-01,Актуальный
1782,067,8552,067038552,«Почетная грамота Всероссийского общества «Знание»,,2014-12-12,,0,,2015-07-01,Актуальный
1783,067,8553,067038553,«Почетная грамота «За длительную безупречную работу в профсоюзах» ВЦСПС и ФНПР»,,2014-12-12,,0,,2015-07-01,Актуальный
1784,067,8560,067038560,Почетная грамота Министерства оборонной промышленности СССР и Президиума ЦК профсоюза авиационной и оборонной промышленности,,2014-12-12,,0,,2015-07-01,Актуальный
1785,067,,067040000,Ведомственные медали,,2014-12-12,,0,,2015-07-01,Актуальный
1786,067,8580,067048580,"«Медаль Н.К. Крупской» Министерства просвещения СССР и Президиума ЦК профсоюза работников просвещения, высшей школы и научных учреждений»",,2014-12-12,,0,,2015-07-01,Актуальный
1787,067,8583,067048583,«Памятная настольная медаль «50 лет ВЧК-КГБ» Комитета государственной безопасности при Совете Министров СССР»,,2014-12-12,,0,,2015-07-01,Актуальный
1788,067,8584,067048584,«Памятная настольная медаль «60 лет ВЧК-КГБ» Комитета государственной безопасности при Совете Министров СССР»,,2014-12-12,,0,,2015-07-01,Актуальный
1789,067,8585,067048585,«Памятная настольная медаль «70 лет ВЧК-КГБ» Комитета государственной безопасности СССР»,,2014-12-12,,0,,2015-07-01,Актуальный
1790,081,,081000000,Фасет 81 Экономически активное население,,2014-12-12,,0,,2015-07-01,Актуальный
1791,081,0001,081000001,"Занятое население (лица, занятые экономической деятельностью)",,2014-12-12,,0,,2015-07-01,Актуальный
1792,081,0002,081000002,Безработные,,2014-12-12,,0,,2015-07-01,Актуальный
1793,082,,082000000,Фасет 82 Сектора экономики при оценке занятости населения,,2014-12-12,,0,,2015-07-01,Актуальный
1794,082,0001,082000001,Государственный сектор экономики,,2014-12-12,,0,,2015-07-01,Актуальный
1795,082,0002,082000002,Негосударственный сектор экономики,,2014-12-12,,0,,2015-07-01,Актуальный
1796,083,,083000000,Фасет 83 Занятые экономической деятельностью,,2014-12-12,,0,,2015-07-01,Актуальный
1797,083,0001,083000001,"Лица, работающие по трудовому договору (контракту), в том числе выполняющие работу за вознаграждение на условиях полного либо неполного рабочего времени, а также имеющие иную оплачиваемую работу (службу), включая сезонные, временные работы, за исключением общественных работ (кроме лиц, для которых общественные работы являются подходящими)",,2014-12-12,,0,,2015-07-01,Актуальный
1798,083,0002,083000002,"Лица, зарегистрированные в установленном порядке в качестве индивидуальных предпринимателей, а также нотариусы, занимающиеся частной практикой, адвокаты, учредившие адвокатские кабинеты, и иные лица, чья профессиональная деятельность в соответствии с федеральными законами подлежит государственной регистрации и (или) лицензированию",,2014-12-12,,0,,2015-07-01,Актуальный
1799,083,0003,083000003,"Лица, занятые в подсобных промыслах и реализующие продукцию по договорам",,2014-12-12,,0,,2015-07-01,Актуальный
1800,083,0004,083000004,"Лица, выполняющие работы по договорам гражданскоЛица,правового характера, предметами которых являются выполнение работ и оказание услуг, авторским договорам, а также являющиеся членами производственных кооперативов (артелей)",,2014-12-12,,0,,2015-07-01,Актуальный
1801,083,0005,083000005,"Лица, избранные или назначенные на оплачиваемую должность",,2014-12-12,,0,,2015-07-01,Актуальный
1802,083,0006,083000006,"Лица, проходящие военную службу, альтернативную гражданскую службу, а также службу в органах внутренних дел, Государственной противопожарной службе, учреждениях и органах уголовноЛица,исполнительной системы",,2014-12-12,,0,,2015-07-01,Актуальный
1803,083,0007,083000007,"Лица, временно отсутствующие на рабочем месте в связи с нетрудоспособностью, отпуском, переподготовкой, повышением квалификации, приостановкой производства, вызванной забастовкой, призывом на военные сборы, привлечением к мероприятиям, связанным с подготовкой к военной службе (альтернативной гражданской службе), исполнением других государственных обязанностей или иными уважительными причинами",,2014-12-12,,0,,2015-07-01,Актуальный
1804,083,0008,083000008,"Лица, являющиеся учредителями (участниками) организаций, за исключением учредителей (участников) некоммерческих организаций, организационноЛица,правовая форма которых не предполагает права учредителей (участников) на получение дохода от деятельности этих организаций, включая членов товариществ собственников жилья, а также членов жилищных, жилищно-строительных, дачных, гаражных кооперативов и иных специализированных потребительских кооперативов, создаваемых в целях удовлетворения потребностей граждан, которые не получают доход от их деятельности",,2014-12-12,,0,,2015-07-01,Актуальный
1805,083,0009,083000009,"Лица, являющиеся членами крестьянского (фермерского) хозяйства",,2014-12-12,,0,,2015-07-01,Актуальный
1806,084,,084000000,Фасет 84 Занятое население по месту работы,,2014-12-12,,0,,2015-07-01,Актуальный
1807,084,0001,084000001,"На предприятии, в организации со статусом юридического лица",,2014-12-12,,0,,2015-07-01,Актуальный
1808,084,0002,084000002,В сфере предпринимательской деятельности без образования юридического лица,,2014-12-12,,0,,2015-07-01,Актуальный
1809,084,0003,084000003,"По найму у физических лиц, индивидуальных предпринимателей",,2014-12-12,,0,,2015-07-01,Актуальный
1810,084,0004,084000004,"В собственном домашнем хозяйстве по производству продукции сельского, лесного хозяйства, охоты и рыболовства для реализации",,2014-12-12,,0,,2015-07-01,Актуальный
1811,085,,085000000,Фасет 85 Вынужденно не полностью занятые лица,,2014-12-12,,0,,2015-07-01,Актуальный
1812,085,0001,085000001,"«Лица, работающие «с неполной рабочей неделей» или «с неполным рабочим днем» в связи с тем, что не смогли найти работу на большее количество времени»",,2014-12-12,,0,,2015-07-01,Актуальный
1813,085,0002,085000002,"Лица, переведенные на неполную рабочую неделю по инициативе администрации (работодателя) или вынужденные перейти на неполную рабочую неделю по причине спада их экономической активности",,2014-12-12,,0,,2015-07-01,Актуальный
1814,085,0003,085000003,"Лица, находящиеся в отпусках по инициативе администрации",,2014-12-12,,0,,2015-07-01,Актуальный
1815,087,,087000000,Фасет 87 Работа основная и дополнительная,,2014-12-12,,0,,2015-07-01,Актуальный
1816,087,0001,087000001,Основная работа,,2014-12-12,,0,,2015-07-01,Актуальный
1817,087,0002,087000002,Дополнительная работа,,2014-12-12,,0,,2015-07-01,Актуальный
1818,088,,088000000,Фасет 88 Статус занятости населения,,2014-12-12,,0,,2015-07-01,Актуальный
1819,088,0001,088000001,Наемные работники,,2014-12-12,,0,,2015-07-01,Актуальный
1820,088,0002,088000002,Работающие не по найму,,2014-12-12,,0,,2015-07-01,Актуальный
1821,089,,089000000,Фасет 89 Занятое население по условиям трудового договора,,2014-12-12,,0,,2015-07-01,Актуальный
1822,089,0001,089000001,На основе трудового договора (служебного контракта) на неопределенный срок,,2014-12-12,,0,,2015-07-01,Актуальный
1823,089,0002,089000002,На основе трудового договора (служебного контракта) на определенный срок,,2014-12-12,,0,,2015-07-01,Актуальный
1824,089,0003,089000003,На основе трудового договора о выполнении работы на дому (надомника),,2014-12-12,,0,,2015-07-01,Актуальный
1825,089,0004,089000004,На основе трудового договора о выполнении дистанционной работы,,2014-12-12,,0,,2015-07-01,Актуальный
1826,089,0005,089000005,На основе договора гражданско-правового характера,,2014-12-12,,0,,2015-07-01,Актуальный
1827,090,,090000000,Фасет 90 Работающие не по найму,,2014-12-12,,0,,2015-07-01,Актуальный
1828,090,0001,090000001,Работодатели,,2014-12-12,,0,,2015-07-01,Актуальный
1829,090,0002,090000002,Самостоятельно занятые,,2014-12-12,,0,,2015-07-01,Актуальный
1830,090,0003,090000003,Члены производственных кооперативов,,2014-12-12,,0,,2015-07-01,Актуальный
1831,090,0004,090000004,Неоплачиваемые семейные работники,,2014-12-12,,0,,2015-07-01,Актуальный
1832,091,,091000000,Фасет 91 Срок трудового договора (контракта),,2014-12-12,,0,,2015-07-01,Актуальный
1833,091,0001,091000001,Неопределенный срок,,2014-12-12,,0,,2015-07-01,Актуальный
1834,091,0002,091000002,Определенный срок не более 5 лет,,2014-12-12,,0,,2015-07-01,Актуальный
1835,092,,092000000,Фасет 92 Дополнительная работа,,2014-12-12,,0,,2015-07-01,Актуальный
1836,092,0001,092000001,"Совместительство, выполняемое на постоянной основе",,2014-12-12,,0,,2015-07-01,Актуальный
1837,092,0002,092000002,"Совместительство, выполняемое на временной основе",,2014-12-12,,0,,2015-07-01,Актуальный
1838,092,0003,092000003,"Совместительство, выполняемое на сезонной основе",,2014-12-12,,0,,2015-07-01,Актуальный
1839,092,0004,092000004,Дополнительная работа по контракту,,2014-12-12,,0,,2015-07-01,Актуальный
1840,092,0005,092000005,"Дополнительная работа случайная, разовая",,2014-12-12,,0,,2015-07-01,Актуальный
1841,092,0006,092000006,Дополнительная работа на индивидуальной основе,,2014-12-12,,0,,2015-07-01,Актуальный
1842,092,0007,092000007,Дополнительная работа в виде предпринимательской деятельности без образования юридического лица,,2014-12-12,,0,,2015-07-01,Актуальный
1843,092,0008,092000008,Дополнительная работа по найму у отдельных граждан,,2014-12-12,,0,,2015-07-01,Актуальный
1844,092,0009,092000009,"Работа, выполняемая сверх нормальной продолжительности рабочего времени по основному месту работы (дополнительная ставка) Совмещение профессий (должностей)",,2014-12-12,,0,,2015-07-01,Актуальный
1845,093,,093000000,Фасет 93 Работа в неблагоприятных условиях труда,,2014-12-12,,0,,2015-07-01,Актуальный
1846,093,0001,093000001,Работа с вредными и(или) опасными условиями труда,,2014-12-12,,0,,2015-07-01,Актуальный
1847,093,0002,093000002,"Работа под воздействием факторов производственной среды шума, ультразвука, инфразвука",,2014-12-12,,0,,2015-07-01,Актуальный
1848,093,0003,093000003,Работа под воздействием факторов производственной среды вибрации (общей и локальной),,2014-12-12,,0,,2015-07-01,Актуальный
1849,093,0004,093000004,Работа под воздействием факторов производственной среды аэрозолей преимущественно фиброгенного действия,,2014-12-12,,0,,2015-07-01,Актуальный
1850,093,0005,093000005,Работа под воздействием факторов производственной среды химического фактора,,2014-12-12,,0,,2015-07-01,Актуальный
1851,093,0006,093000006,Работа под воздействием факторов производственной среды неионизирующего излучения,,2014-12-12,,0,,2015-07-01,Актуальный
1852,093,0007,093000007,Работа под воздействием факторов производственной среды ионизирующего излучения,,2014-12-12,,0,,2015-07-01,Актуальный
1853,093,0008,093000008,Работа под воздействием факторов производственной среды нагревающего микроклимата,,2014-12-12,,0,,2015-07-01,Актуальный
1854,093,0009,093000009,Работа под воздействием факторов производственной среды охлаждающего микроклимата,,2014-12-12,,0,,2015-07-01,Актуальный
1855,093,0010,093000010,Работа под воздействием факторов производственной среды световой среды,,2014-12-12,,0,,2015-07-01,Актуальный
1856,093,0011,093000011,Работа под воздействием факторов производственной среды биологического фактора,,2014-12-12,,0,,2015-07-01,Актуальный
1857,093,0012,093000012,Работа под воздействием факторов трудового процесса тяжести,,2014-12-12,,0,,2015-07-01,Актуальный
1858,093,0013,093000013,Работа под воздействием факторов трудового процесса напряженности,,2014-12-12,,0,,2015-07-01,Актуальный
1859,094,,094000000,Фасет 94 Категории работников с сокращенной продолжительностью рабочего времени,,2014-12-12,,0,,2015-07-01,Актуальный
1860,094,0001,094000001,Работники в возрасте до 16 лет; в возрасте от 16 до 18 лет;являющиеся инвалидами I или II группы;  условия труда на рабочих местах которых по результатам специальной оценки условий труда отнесены к вредным условиям труда 3 или 4 степени или опасным условиям труда,,2014-12-12,,0,,2015-07-01,Актуальный
1861,094,0002,094000002,"Женщины, имеющие дополнительные перерывы в работе для кормления ребенка",,2014-12-12,,0,,2015-07-01,Актуальный
1862,094,0003,094000003,"Женщины, работающие в сельской местности",,2014-12-12,,0,,2015-07-01,Актуальный
1863,095,,095000000,Фасет 95 Занятое население по продолжительности рабочей недели,,2014-12-12,,0,,2015-07-01,Актуальный
1864,095,0001,095000001,Менее 9 ч,,2014-12-12,,0,,2015-07-01,Актуальный
1865,095,0002,095000002,9-15 ч,,2014-12-12,,0,,2015-07-01,Актуальный
1866,095,0003,095000003,16-20 ч,,2014-12-12,,0,,2015-07-01,Актуальный
1867,095,0004,095000004,21-30 ч,,2014-12-12,,0,,2015-07-01,Актуальный
1868,095,0005,095000005,31-40 ч,,2014-12-12,,0,,2015-07-01,Актуальный
1869,095,0006,095000006,41-50 ч,,2014-12-12,,0,,2015-07-01,Актуальный
1870,095,0007,095000007,51 и более часов,,2014-12-12,,0,,2015-07-01,Актуальный
1871,095,0008,095000008,С полным рабочим днем или полной рабочей неделей,,2014-12-12,,0,,2015-07-01,Актуальный
1872,095,0009,095000009,С неполным рабочим днем или неполной рабочей неделей,,2014-12-12,,0,,2015-07-01,Актуальный
1873,095,0010,095000010,С гибким режимом работы,,2014-12-12,,0,,2015-07-01,Актуальный
1874,095,0011,095000011,Временно отсутствовали,,2014-12-12,,0,,2015-07-01,Актуальный
1875,096,,096000000,"Фасет 96 Причины, по которым незанятое население оставило работу",,2014-12-12,,0,,2015-07-01,Актуальный
1876,096,0001,096000001,"Высвобождение, сокращение штатов, ликвидация предприятия",,2014-12-12,,0,,2015-07-01,Актуальный
1877,096,0002,096000002,Ликвидация собственного дела,,2014-12-12,,0,,2015-07-01,Актуальный
1878,096,0003,096000003,Увольнение по собственному желанию,,2014-12-12,,0,,2015-07-01,Актуальный
1879,096,0004,096000004,Окончание срока действия срочного трудового договора,,2014-12-12,,0,,2015-07-01,Актуальный
1880,096,0005,096000005,"Выход на пенсию, в отставку",,2014-12-12,,0,,2015-07-01,Актуальный
1881,096,0006,096000006,Перемена места жительства,,2014-12-12,,0,,2015-07-01,Актуальный
1882,096,0007,096000007,Состояние здоровья,,2014-12-12,,0,,2015-07-01,Актуальный
1883,096,0008,096000008,"Личные, семейные причины",,2014-12-12,,0,,2015-07-01,Актуальный
1884,096,0009,096000009,Увольнение из Вооруженных Сил,,2014-12-12,,0,,2015-07-01,Актуальный
1885,096,0010,096000010,Поступление на учебу,,2014-12-12,,0,,2015-07-01,Актуальный
1886,096,0011,096000011,Окончание действия договора гражданско-правового характера,,2014-12-12,,0,,2015-07-01,Актуальный
1887,096,0012,096000012,Другие причины,,2014-12-12,,0,,2015-07-01,Актуальный
1888,097,,097000000,"Фасет 97 Лица, учитываемые в домохозяйстве",,2014-12-12,,0,,2015-07-01,Актуальный
1889,097,0010,097000010,"Все члены домохозяйства, постоянно (обычно) проживающие в нем, независимо от гражданства",,2014-12-12,,0,,2015-07-01,Актуальный
1890,097,0011,097000011,"Граждане Российской Федерации, выехавшие в служебные командировки или выполняющие служебные обязанности по линии органов государственной власти Российской Федерации (включая военнослужащих, дипломатический корпус и членов их семей), независимо от срока командировки",,2014-12-12,,0,,2015-07-01,Актуальный
1891,097,0012,097000012,"Лица, постоянно проживающие в Российской Федерации и временно выехавшие за границу в командировку, на работу по контрактам российских и иностранных фирм или учебу на срок до 1 года",,2014-12-12,,0,,2015-07-01,Актуальный
1892,097,0013,097000013,"Лица, постоянно проживающие в Российской Федерации и временно выехавшие за границу на лечение, отдых, в гости к родственникам и знакомым",,2014-12-12,,0,,2015-07-01,Актуальный
1893,097,0014,097000014,"Моряки российских рыболовных и торговых судов, находящиеся в плавании",,2014-12-12,,0,,2015-07-01,Актуальный
1894,097,0015,097000015,"Российские и иностранные граждане и лица без гражданства, прибывшие в Российскую Федерацию из-за границы на постоянное жительство или ищущие убежище, включая и тех из них, кто не успел оформить регистрационные документы",,2014-12-12,,0,,2015-07-01,Актуальный
1895,097,0016,097000016,"Российские и иностранные граждане и лица без гражданства, прибывшие в Российскую Федерацию из-за границы на учебу или работу на срок 1 год и более (независимо от того, сколько времени они уже пробыли в стране и сколько им осталось находиться в Российской Федерации)",,2014-12-12,,0,,2015-07-01,Актуальный
1896,097,0017,097000017,"Лица, находящиеся на военно-учебных сборах",,2014-12-12,,0,,2015-07-01,Актуальный
1897,097,0018,097000018,"Лица, находящиеся в местах предварительного заключения под следствием, а также арестованные в административном порядке на срок до 30 суток",,2014-12-12,,0,,2015-07-01,Актуальный
1898,098,,098000000,"Фасет 98 Лица, не учитываемые в домохозяйстве",,2014-12-12,,0,,2015-07-01,Актуальный
1899,098,0001,098000001,"Иностранные граждане, работающие в дипломатических и других представительствах своего государства, иностранные военнослужащие и члены их семей",,2014-12-12,,0,,2015-07-01,Актуальный
1900,098,0002,098000002,"Иностранные граждане, работающие на территории Российской Федерации в представительствах международных организаций",,2014-12-12,,0,,2015-07-01,Актуальный
1901,098,0003,098000003,"Иностранные граждане, являющиеся членами делегаций правительств и законодательных органов своих государств",,2014-12-12,,0,,2015-07-01,Актуальный
1902,098,0004,098000004,"Российские граждане, постоянно проживающие за рубежом",,2014-12-12,,0,,2015-07-01,Актуальный
1903,098,0005,098000005,"Лица, выехавшие на работу или учебу на срок 1 год и более (независимо от того, когда они выехали и сколько времени им осталось находиться в месте работы или учебы)",,2014-12-12,,0,,2015-07-01,Актуальный
1904,098,0007,098000007,"Лица, находящиеся в местах предварительного заключения, в отношении которых приговор вступил в силу, а также лица, отбывающие наказание в местах лишения свободы",,2014-12-12,,0,,2015-07-01,Актуальный
1905,098,0008,098000008,"Лица, находящиеся на лечении в больницах 1 год и более",,2014-12-12,,0,,2015-07-01,Актуальный
1906,098,0009,098000009,"Студенты и учащиеся (кроме учащихся общеобразовательных учреждений), живущие по месту учебы",,2014-12-12,,0,,2015-07-01,Актуальный
1907,098,0010,098000010,Военнослужащие по призыву,,2014-12-12,,0,,2015-07-01,Актуальный
1908,099,,099000000,Фасет 99 Общие основания прекращения трудового договора,,2014-12-12,,0,,2015-07-01,Актуальный
1909,099,0001,099000001,Соглашение сторон,,2014-12-12,,0,,2015-07-01,Актуальный
1910,099,0002,099000002,"Истечение срока трудового договора, за исключением случаев, когда трудовые отношения фактически продолжаются и ни одна из сторон не потребовала их прекращения",,2014-12-12,,0,,2015-07-01,Актуальный
1911,099,0003,099000003,Расторжение трудового договора по инициативе работника,,2014-12-12,,0,,2015-07-01,Актуальный
1912,099,0004,099000004,Расторжение трудового договора по инициативе работодателя (в соответствии с фасетом 102),,2014-12-12,,0,,2015-07-01,Актуальный
1913,099,0005,099000005,Перевод работника по его просьбе или с его согласия на работу к другому работодателю или переход на выборную работу (должность),,2014-12-12,,0,,2015-07-01,Актуальный
1914,099,0006,099000006,"Отказ работника от продолжения работы в связи со сменой собственника имущества организации, изменением подведомственности (подчиненности) организации либо ее реорганизацией, с изменением типа государственного или муниципального учреждения",,2014-12-12,,0,,2015-07-01,Актуальный
1915,099,0007,099000007,Отказ работника от продолжения работы в связи с изменением определенных сторонами условий трудового договора,,2014-12-12,,0,,2015-07-01,Актуальный
1916,099,0008,099000008,"Отказ работника от перевода на другую работу, необходимого ему в соответствии с медицинским заключением, выданным в порядке, установленном федеральными законами и иными нормативными правовыми актами Российской Федерации, либо отсутствие у работодателя соответствующей работы",,2014-12-12,,0,,2015-07-01,Актуальный
1917,099,0009,099000009,Отказ работника от перевода на работу в другую местность вместе с работодателем,,2014-12-12,,0,,2015-07-01,Актуальный
1918,099,0010,099000010,"Обстоятельства, не зависящие от воли сторон (в соответствии с фасетом 103)",,2014-12-12,,0,,2015-07-01,Актуальный
1919,099,0011,099000011,"Нарушение установленных Трудовым Кодексом или иным федеральным законом правил заключения трудового договора, если это нарушение исключает возможность продолжения работы (в соответствии с фасетом 104)",,2014-12-12,,0,,2015-07-01,Актуальный
1920,100,,100000000,"Фасет 100 Общие основания прекращения служебного контракта, освобождения от занимаемой должности гражданской службы и увольнения с гражданской службы",,2014-12-12,,0,,2015-07-01,Актуальный
1921,100,0001,100000001,Соглашение сторон служебного контракта,,2014-12-12,,0,,2015-07-01,Актуальный
1922,100,0002,100000002,Истечение срока действия срочного служебного контракта,,2014-12-12,,0,,2015-07-01,Актуальный
1923,100,0003,100000003,Расторжение служебного контракта по инициативе государственного гражданского служащего,,2014-12-12,,0,,2015-07-01,Актуальный
1924,100,0004,100000004,Расторжение служебного контракта по инициативе представителя нанимателя,,2014-12-12,,0,,2015-07-01,Актуальный
1925,100,0005,100000005,Перевод гражданского служащего по его просьбе или с его согласия в другой государственный орган или на государственную службу иного вида,,2014-12-12,,0,,2015-07-01,Актуальный
1926,100,0006,100000006,Отказ гражданского служащего от предложенной для замещения иной должности гражданской службы в связи с изменением существенных условий служебного контракта,,2014-12-12,,0,,2015-07-01,Актуальный
1927,100,0007,100000007,Отказ гражданского служащего от перевода на иную должность гражданской службы по состоянию здоровья в соответствии с медицинским заключением либо отсутствие такой должности в том же государственном органе,,2014-12-12,,0,,2015-07-01,Актуальный
1928,100,0008,100000008,Отказ гражданского служащего от перевода в другую местность вместе с государственным органом,,2014-12-12,,0,,2015-07-01,Актуальный
1929,100,0009,100000009,"Обстоятельства, не зависящие от воли сторон служебного контракта",,2014-12-12,,0,,2015-07-01,Актуальный
1930,100,0010,100000010,"Нарушение установленных федеральными законами обязательных правил заключения служебного контракта, если это нарушение исключает возможность замещения должности гражданской службы",,2014-12-12,,0,,2015-07-01,Актуальный
1931,100,0011,100000011,Выход гражданского служащего из гражданства Российской Федерации,,2014-12-12,,0,,2015-07-01,Актуальный
1932,100,0012,100000012,"Несоблюдение ограничений и невыполнение обязательств, установленных федеральными законами",,2014-12-12,,0,,2015-07-01,Актуальный
1933,100,0013,100000013,"Нарушение запретов, связанных с гражданской службой",,2014-12-12,,0,,2015-07-01,Актуальный
1934,100,0014,100000014,Отказ гражданского служащего от замещения прежней должности гражданской службы при неудовлетворительном результате испытания,,2014-12-12,,0,,2015-07-01,Актуальный
1935,101,,101000000,"Фасет 101 Обстоятельства, при которых гражданин Российской Федерации не может быть принят на государственную гражданскую службу, а государственный гражданский служащий не может находиться на государственной гражданской службе",,2014-12-12,,0,,2015-07-01,Актуальный
1936,101,0001,101000001,"Признание гражданина Российской Федерации или государственного гражданского служащего недееспособным или ограниченно дееспособным решением суда, вступившим в законную силу",,2014-12-12,,0,,2015-07-01,Актуальный
1937,101,0002,101000002,"Осуждение гражданина Российской Федерации или государственного гражданского служащего к наказанию, исключающему возможность исполнения должностных обязанностей по должности государственной службы (гражданской службы), по приговору суда, вступившему взаконную силу, а также в случае наличия не снятой или не погашенной в установленном федеральным законом порядке судимости",,2014-12-12,,0,,2015-07-01,Актуальный
